season,age,squad,country,comp,league_rank,matches_played,starts,min,goals,assists,pens,pens_attempted,expected_goals,non_pen_exp_goals,expected_assists
2010-2011,17,Leyton Orient,ENG,3. League One,7th,18,9,902,5,0,0,0,NA,NA,NA
2011-2012,18,Millwall,ENG,2. Championship,16th,22,19,1608,7,1,0,0,NA,NA,NA
2012-2013,19,Norwich City,ENG,1. Premier League,11th,3,1,135,0,0,0,0,NA,NA,NA
2012-2013,19,Leicester City,ENG,2. Championship,6th,13,5,534,2,0,0,0,NA,NA,NA
2012-2013,19,Tottenham,ENG,1. Premier League,5th,1,0,6,0,0,0,0,NA,NA,NA
2013-2014,20,Tottenham,ENG,1. Premier League,6th,10,6,499,3,0,0,0,NA,NA,NA
2014-2015,21,Tottenham,ENG,1. Premier League,5th,34,28,2581,21,4,2,3,NA,NA,NA
2015-2016,22,Tottenham,ENG,1. Premier League,3rd,38,38,3361,25,1,5,5,NA,NA,NA
2016-2017,23,Tottenham,ENG,1. Premier League,2nd,30,29,2521,29,5,5,6,NA,NA,NA
2017-2018,24,Tottenham,ENG,1. Premier League,3rd,37,35,3076,30,2,2,3,24.8,22.4,2.7
2018-2019,25,Tottenham,ENG,1. Premier League,4th,28,27,2424,17,4,4,4,14.4,11.3,4
2019-2020,26,Tottenham,ENG,1. Premier League,6th,29,29,2587,18,2,2,2,12.5,10.9,3.3
2020-2021,27,Tottenham,ENG,1. Premier League,7th,35,35,3082,23,14,4,4,20.1,16.9,7.1
2021-2022,28,Tottenham,ENG,1. Premier League,4th,37,36,3232,17,9,4,4,18.6,15.4,9.1
2022-2023,29,Tottenham,ENG,1. Premier League,8th,38,38,3405,30,3,5,6,21.4,16.7,7
2023-2024,30,Bayern Munich,GER,1. Bundesliga,3rd,32,32,2839,36,8,5,5,30.6,26.7,6.4
2024-2025,31,Bayern Munich,GER,1. Bundesliga,1st,31,28,2381,26,9,9,9,20.3,13.3,5.3
